query,region,title,excerpt,date,source,link
semiconductor,china,Chinese officials bemoan ‘significant catch-up’ needed with US on chipmaking,"China is pursuing more independence in the supply of key technologies and components, including semiconductors.
Photo: Xinhua",2020-7-10,South China Morning Post,https://www.scmp.com/economy/china-economy/article/3092673/chinese-officials-bemoan-significant-catch-needed-us
semiconductor,china,"Imec &amp; GLOBALFOUNDRIES Partner Up And Announce Breakthroughs In AI Chip On 
IoT Devices","Imec & GlobalFoundries Bringing Deep Neural Network Calculations To IoT Edge DevicesBased on imec’s Analog in Memory Computing (AiMC) architecture utilizing GF’s 22FDX solution, the new chip is optimized to perform deep neural network calculations on in-memory computing hardware in the analog domain.
Achieving record-high energy efficiency up to 2,900 TOPS/W, the accelerator is a key enabler for inference-on-the-edge for low-power devices.
The resulting Analog Inference Accelerator (AnIA), built on GF’s 22FDX semiconductor platform, has exceptional energy efficiency.
GF’s 22FDX employs 22nm FD-SOI technology to deliver outstanding performance at extremely low power, with the ability to operate at 0.5 Volt ultralow-power and at 1 pico amp per micron for ultralow standby leakage.
22FDX with the new AiMC feature is in development at GF’s state-of-the-art 300mm production line at Fab 1 in Dresden, Germany",2020-7-11,Wccftech,https://wccftech.com/imec-globalfoundries-partner-up-announce-breakthroughs-in-ai-chip-on-iot-devices/
semiconductor,china,SMIC shares surge in Shanghai debut after $6.6 billion offering,"SHANGHAI (Reuters) - Shares in semiconductor Manufacturing International Corp (SMIC), China’s biggest chipmaker, more than tripled when they debuted on the Shanghai market on Thursday in one of the most anticipated listings of the year.
SMIC 688981.SS opened at 95 yuan, 246% higher than its offer price of 27.46 yuan.
The U.S. decision to prevent Huawei from receiving supplies or services from American companies also threatens Huawei’s suppliers such as TSMC and SMIC.
However, analysts said SMIC remains China’s best hope for developing a first-class chip fab, in spite of significant business hurdles given its size and progression.
Li Xinxie, a tech analyst with Shanxi Securities, said the enthusiasm for SMIC’s Shanghai stock reflected ongoing confidence for China’s tech self-sufficiency push",2020-7-15,Reuters,https://www.reuters.com/article/us-china-smic-debut-idUSKCN24H07R
semiconductor,china,Chinese $2.8bn memory chip project goes bust,"The project, supported by the Nanjing Economic and Technology Development Zone, was launched in 2016 and designated a major local investment project.
The plan included the creation of an 8-inch wafer fabrication plant and supporting producers throughout the entire business chain of chip production.
The Nanjing project was part of China's ambitious plan to produce 40% of the semiconductors it uses by 2020 and 70% by 2025.
The plan resulted in massive investment by the central government and spurred an enthusiastic response from private equity and venture capital investors.
But construction of the Tacoma project has been halted since March 2019 because of a capital crunch, according to Tacoma Chairman Li Ruiwei, also known as Joseph Lee",2020-7-14,Nikkei Asia,https://asia.nikkei.com/Spotlight/Caixin/Chinese-2.8bn-memory-chip-project-goes-bust
semiconductor,china,Analog Devices nears $20bn deal for chip rival Maxim,Pay based on useGet StartedPurchase a Team or Enterprise subscription for per weekYou will be billed per month after the trial ends,2020-7-12,Financial Times,https://www.ft.com/content/b6c7e192-1da9-454b-acd2-53058cae0662
semiconductor,china,"China steel futures rise on demand prospects, low stockpiles","MANILA: China's steel futures rose on Wednesday on optimism about demand prospects in the world's top metals consumer, while low domestic stockpiles also lent support.The most-traded construction steel rebar contract on the Shanghai Futures Exchange rose as much as 1.8% to 3,701 yuan ($527.29) a tonne, heading for a fifth straight session of gains.Hot-rolled coil, used in cars and home appliances, advanced 1.9% to 3,695 yuan a tonne, while stainless steel gained 2.0% to 13,680 yuan a tonne.Steel prices remained resilient despite the seasonal weakness in downstream demand, particularly for rebar, as flooding in southern China and heavy rains across the country slowed construction activities.
""The market sentiment remains bullish, dictated by strong stock prices,"" said Richard Lu, senior analyst at CRU consultancy in Beijing.China's stock markets have seen surging volumes and foreign inflows in recent days, pushing blue-chip shares to a more than five-year high, with retail investors rushing to join the bull market.
""It looks like market participants are still confident on macro-economic growth in the second half, and many think the short-term weather disruption will be compensated later,"" Lu said.China's steel inventories remain low despite the build-up seen over the last two weeks.
Rebar and hot-rolled coil stockpiles have fallen more than 40% from this year's peak, data from SteelHome consultancy showed",2020-7-8,ET Auto,https://auto.economictimes.indiatimes.com/news/auto-components/china-steel-futures-rise-on-demand-prospects-low-stockpiles/76849494
semiconductor,china,China's Chip Dreams at SMIC Cost Investors a Patriot's Premium,"Why did this happen?
Please make sure your browser supports JavaScript and cookies and that you are not blocking them from loading.
For more information you can review our Terms of Service and Cookie Policy",2020-7-9,Bloomberg.com,https://www.bloomberg.com/opinion/articles/2020-07-09/china-s-chip-dreams-at-smic-cost-investors-a-patriot-s-premium
semiconductor,china,"The US cannot compete with China if our military doesn't invest in R&amp;D | 
TheHill","The key to ensuring American success is for DOD and private industry to turbo-boost their collaboration.
DOD needs to incentivize private industry to invest its own resources into military-relevant R&D.
Private industry, in turn, will benefit from access to DOD capital, expertise and facilities.
When encountering challenges working with DOD, companies naturally diversify their revenue streams.
DOD should incentivize private industry to invest its own resources into defense-related manufacturing capabilities and R&D",2020-7-13,TheHill,https://thehill.com/opinion/national-security/506991-the-us-cannot-compete-with-china-if-our-military-doesnt-invest-in
semiconductor,china,China expert warns against total focus on self-reliance in chips,"Staff members work at a workshop of a semiconductor company in Shanghai, east China, Feb. 10, 2020.
Photo: Xinhua",2020-7-10,South China Morning Post,https://www.scmp.com/tech/innovation/article/3092649/china-chip-expert-warns-self-reliance-semiconductors-will-be-tough
semiconductor,china,Trump just wore a mask in public for the first time,"NEWA vastly improved search engine helps you find the latest on companies, business leaders, and news more easily",2020-7-11,Fortune,https://fortune.com/2020/07/11/trump-wears-mask-first-time-in-public-wearing-face-mask-walter-reed-photo-images/
semiconductor,china,China shares fall as Sino-U.S. tensions weigh on GDP beat,"** Chinese H-shares listed in Hong Kong fell 1.51% to 10,234.09, while the Hang Seng Index was down 1.17% at 25,183.08.
It needs a stronger stimulus to offset woes of Sino-U.S. tensions and trigger another round of bullishness, he added.
** Beijing warned of retaliatory sactions and summoned the U.S. ambassador to protest at the Hong Kong Autonomy Act passed by the U.S. Congress and signed by President Donald Trump.
** Around the region, MSCI’s Asia ex-Japan stock index was weaker by 1.20% while Japan’s Nikkei index was down 0.68%.
** Shares in semiconductor Manufacturing International Corp (SMIC), China’s biggest chipmaker, more than tripled on Thursday on their Shanghai market debut",2020-7-15,Reuters,https://www.reuters.com/article/china-stocks-midday-idUSL3N2EN19X
semiconductor,china,"As the U.S. and China spar on the world stage, Cold War 2.0 may already 
have begun","A Chinese official in turn blamed the U.S. Army, and the U.S. government accused China of trying to use hackers to steal vaccine technology.
These days, Trump and his Democratic rival, former Vice President Joe Biden, joust in campaign ads over who is tougher on China.
America's China policy, he added, ""is based on ill-informed strategic miscalculation and is fraught with emotions and whims and McCarthyist bigotry.""
Chinese tourists roam the world, and hundreds of thousands of Chinese students take up residence every year at U.S. and European universities.
In May, Biden accused Trump of failing to stand up to China on Hong Kong, saying Trump ""has enabled Xi Jinping's sense of impunity when it comes to stifling freedom.""",2020-7-14,NBC News,https://www.nbcnews.com/politics/national-security/u-s-china-spar-world-stage-cold-war-2-0-n1233815
semiconductor,china,Why China Isn’t Expected to Power a Global Recovery,"During the 2008-09 financial crisis, China's soaring demand for raw 
materials ... In South Korea, semiconductor-equipment maker YoungjinIND Co. 
has resumed ",2020-7-12,The Wall Street Journal,https://www.wsj.com/articles/why-china-isnt-expected-to-power-a-global-recovery-11594555200
semiconductor,china,Startup Funding: June 2020,"The startup focuses on superconducting quantum processors and co-design of quantum computing hardware and applications.
Investors include Hoxton Ventures, Village Global, Propagator Ventures, Luminous Ventures, FoundersX Ventures, and 7percent Ventures.
Horizon Quantum Computing raised $2.4M in seed-plus funding for its programming tools to simply software creating for quantum computers.
Founded in 2018, the Singapore-based startup aims to remove the need for prior quantum computing experience by automatically adapting programs written for conventional computing.
Banking and fintech rounds out the top three sectors with one startup, Pagaya Investments, drawing the bulk of the funding",2020-7-8,Semiconductor Engineering,https://semiengineering.com/startup-funding-june-2020/
semiconductor,china,ACM Research Starts Construction of New Facility in ...,"FREMONT, Calif., July 09, 2020 (GLOBE NEWSWIRE) -- ACM Research, Inc. (“ACM”) (NASDAQ:ACMR), a leading supplier of wafer cleaning technologies for advanced semiconductor devices, announced that its operating subsidiary ACM Research (Shanghai), Inc. (“ACM Shanghai”) has begun construction of its new development and production facility in the Lingang Special Area of China (Shanghai) Pilot Free Trade Zone.
ACM Shanghai held a groundbreaking ceremony on July 7, 2020, to mark the commencement of construction.
The facility site is located in the Lingang region of Shanghai, which is approximately 30 miles from ACM Shanghai’s headquarters in Zhangjiang.
Local government officials attended the ceremony, together with customers, suppliers, and ACM Shanghai’s board members and employees.
The ACM logo is a trademark of ACM Research, Inc. All rights reserved",2020-7-9,GlobeNewswire,https://www.globenewswire.com/en/news-release/2020/07/09/2060265/0/en/ACM-Research-Starts-Construction-of-New-Facility-in-Shanghai-s-Lingang-Special-Area.html
semiconductor,china,Analog buys Maxim for over $20bn,"Make informed decisions with the FTKeep abreast of significant corporate, financial and political developments around the world.
Stay informed and spot emerging risks and opportunities with independent global reporting, expert commentary and analysis you can trust",2020-7-13,Financial Times,https://www.ft.com/content/a25bc65d-5607-4081-9d78-e8f8641a928e
semiconductor,china,China’s patent filings back on track amid Covid-19 disruptions,China’s policy support for the domestic semiconductor industry helped usher in more intellectual property applications for integrated circuit design in the first half of this year,2020-7-10,South China Morning Post,https://www.scmp.com/tech/innovation/article/3092691/chinas-patent-filings-back-track-amid-covid-19-disruptions
semiconductor,china,"SMIC's Shanghai listing tests if money alone can bring chip dominance to 
China","REUTERS/Aly Song/File PhotoSemiconductor Manufacturing International Corp (SMIC) 0981.HK has found itself in the slipstream of a government drive to develop an independent chip industry.
Its Hong Kong stock price has surged three-fold since March as investors bought into sentiment accompanying its listing plans.
“The listing is a blessing and a curse,” said Mark Li, who tracks the semiconductor industry at Bernstein Research.
Of the 46.3 billion yuan ($6.6 billion) proceeds, SMIC plans to spend 40% building a plant making 12-inch silicon wafers to produce chips with 14 and 7 nanometre technology.
That would make it capable of taking high-end chip orders from the likes of Nvidia, Qualcomm and Huawei chip unit HiSilicon",2020-7-15,Reuters,https://www.reuters.com/article/us-smic-china-ipo-analysis-idUSKCN24G0PO
semiconductor,china,Could Trump Win the War on Huawei—and Is TikTok Next?,"Wray’s remarks marked the second act in what will ultimately be four speeches by the Trump administration’s national security and legal leaders about the threat posed by China’s ambitions.
After Washington and the West largely failed with carrots for two decades, the Trump administration has turned to geopolitical sticks—a strategy that was well underway before this spring’s novel coronavirus pandemic exacerbated Chinese-US tensions.
(As this article was published the British government announced that it had indeed decided to ban purchase of new 5G equipment from Huawei.)
But those were not the issues the British reportedly cited for considering a pullback from its deal with Huawei.
That, UK officials worry, would in turn force Huawei to use untrusted technology that could make security risks to Britain’s 5G network impossible to control",2020-7-14,WIRED,https://www.wired.com/story/could-trump-win-the-war-on-huawei-and-is-tiktok-next/
semiconductor,china,China Everbright Limited and Terminus Technologies Launch ...,"CEL AI Economy Fund focuses on the application of AIoT+ strategy and its ecology in the entire industry.
CEL AI Economy Fund opens the new chapter of Everbright Limited's investment strategy plans, enabling a smooth and flawless transition from new economy into AI economy.
The establishment of the CEL AI Economy Fund will accelerate the global deployment of Terminus' AI CITY network.
Victor Ai, founder and CEO of Terminus Technologies, said: ""CEL AI Economy Fund finds industrial development is the fostering land for its new economy mindset.
And CEL AI Economy Fund is another effective support for Terminus to achieve its global strategic layout of AI CITY",2020-7-12,PR Newswire,https://www.prnewswire.com/news-releases/china-everbright-limited-and-terminus-technologies-launch-a-10-billion-ai-economy-fund-301091987.html
semiconductor,china,Huawei still has no fix to being cut off from TSMC,"""This move may well force the global semiconductor industry to look away 
from ... including China itself,"" said Nelson Dong, a senior partner at US 
law firm ",2020-7-8,Light Reading,https://www.lightreading.com/5g/huawei-still-has-no-fix-to-being-cut-off-from-tsmc/d/d-id/762236
semiconductor,china,"Nokia, Ericsson source components for India telecoms gear from China","Ericsson reportedly owns 51% in Nanjing Ericsson Panda Electronics, in which PEG-controlled Nanjing Panda Electronics is a minority shareholder.But people familiar with the matter say Ericsson’s global supplier ecosystem includes other Chinese component suppliers.
The Swedish gear maker declined to reveal the exact involvement of Chinese component suppliers.
Government sources say they may extend the missive to India’s private telcos such as Vodafone Idea and Bharti Airtel Both Nokia and Ericsson manufacture a host of gear in India such as radio network equipment like 2G, 3G, 4G and 5G base stations and microwave products at their factories in Chennai and Pune respectively.Analysts said the prospect of both European vendors using some Chinese components could drive the government to stringently enforce local testing of all imported network gear from October 1, regardless of whether it is Chinese, European or Korean.
Bharti Airtel and Vodafone Idea buy network gear from Ericsson, Nokia, Huawei and ZTE , while Reliance Jio only procures from South Korea’s Samsung.Rajiv Sharma, research head at SBICaps Securities, said “it’s important for all network gear, Chinese and non-Chinese, to be locally tested in the interest of national security before deployment in Indian telecom networks as concerns around malware are now bigger as even Ericsson and Nokia are known to use Chinese components”.
He added that sourcing of Chinese components by European vendors might even push the government to unveil policies that encourage mass local manufacturing of such components.The government has recently banned Chinese mobile apps, including top social media platforms such as TikTok, Helo and instant messaging tool WeChat, to counter the threat posed by these apps to India’s sovereignty and security",2020-7-9,ET Telecom,https://telecom.economictimes.indiatimes.com/news/nokia-ericsson-source-components-for-india-telecoms-gear-from-china/76855015
semiconductor,china,Britain toughens stance on China as it eyes U.S.,"The cooling of enthusiasm, however, has as much to do with Donald Trump’s China strategy as it does Johnson’s.
“This has little to do with national security and everything to do with the forthcoming lopsided U.S.-U.K. trade deal,” he said.
Therefore, a foreign policy advance on China must come with the recognition that there will be an economic hit,” he said.
“I don’t think there’s any harm in pursuing trade with China — but it must be on equal terms,” said Ellwood.
“The way you deal in the trade area connects to the way you deal in [other areas]",2020-7-13,Politico,https://www.politico.com/news/2020/07/13/boris-johnson-china-huawei-359741
